English_Na,Enw_Cymrae,,No_Rhif,Segment,q,r,name,id,MS,Party
Afan Ogwr Rhondda,Afan Ogwr Rhondda,,9,1,4,5,Afan Ogwr Rhondda,9_1,,
Afan Ogwr Rhondda,Afan Ogwr Rhondda,,9,2,5,5,Afan Ogwr Rhondda,9_2,,
Afan Ogwr Rhondda,Afan Ogwr Rhondda,,9,3,4,4,Afan Ogwr Rhondda,9_3,,
Afan Ogwr Rhondda,Afan Ogwr Rhondda,,9,4,5,4,Afan Ogwr Rhondda,9_4,,
Afan Ogwr Rhondda,Afan Ogwr Rhondda,,9,5,4,3,Afan Ogwr Rhondda,9_5,,
Afan Ogwr Rhondda,Afan Ogwr Rhondda,,9,6,5,3,Afan Ogwr Rhondda,9_6,,
Bangor Conwy Môn,Bangor Conwy Môn,,1,1,3,13,Bangor Conwy Môn,1_1,,
Bangor Conwy Môn,Bangor Conwy Môn,,1,2,4,13,Bangor Conwy Môn,1_2,,
Bangor Conwy Môn,Bangor Conwy Môn,,1,3,5,13,Bangor Conwy Môn,1_3,,
Bangor Conwy Môn,Bangor Conwy Môn,,1,4,5,12,Bangor Conwy Môn,1_4,,
Bangor Conwy Môn,Bangor Conwy Môn,,1,5,6,12,Bangor Conwy Môn,1_5,,
Bangor Conwy Môn,Bangor Conwy Môn,,1,6,5,11,Bangor Conwy Môn,1_6,,
Blaenau Gwent Caerffili Rhymni,Blaenau Gwent Caerffili Rhymni,,11,1,8,7,Blaenau Gwent Caerffili Rhymni,11_1,,
Blaenau Gwent Caerffili Rhymni,Blaenau Gwent Caerffili Rhymni,,11,2,8,6,Blaenau Gwent Caerffili Rhymni,11_2,,
Blaenau Gwent Caerffili Rhymni,Blaenau Gwent Caerffili Rhymni,,11,3,9,6,Blaenau Gwent Caerffili Rhymni,11_3,,
Blaenau Gwent Caerffili Rhymni,Blaenau Gwent Caerffili Rhymni,,11,4,8,5,Blaenau Gwent Caerffili Rhymni,11_4,,
Blaenau Gwent Caerffili Rhymni,Blaenau Gwent Caerffili Rhymni,,11,5,8,4,Blaenau Gwent Caerffili Rhymni,11_5,,
Blaenau Gwent Caerffili Rhymni,Blaenau Gwent Caerffili Rhymni,,11,6,9,4,Blaenau Gwent Caerffili Rhymni,11_6,,
Brycheiniog Tawe Nedd,Brycheiniog Tawe Nedd,,8,1,7,8,Brycheiniog Tawe Nedd,8_1,,
Brycheiniog Tawe Nedd,Brycheiniog Tawe Nedd,,8,2,8,8,Brycheiniog Tawe Nedd,8_2,,
Brycheiniog Tawe Nedd,Brycheiniog Tawe Nedd,,8,3,9,8,Brycheiniog Tawe Nedd,8_3,,
Brycheiniog Tawe Nedd,Brycheiniog Tawe Nedd,,8,4,6,7,Brycheiniog Tawe Nedd,8_4,,
Brycheiniog Tawe Nedd,Brycheiniog Tawe Nedd,,8,5,7,7,Brycheiniog Tawe Nedd,8_5,,
